OSEBuildingID,BuildingType,PrimaryPropertyType,PropertyName,Address,TaxParcelIdentificationNumber,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),DefaultData,TotalGHGEmissions,GHGEmissionsIntensity
29.0,NonResidential,Hotel,WATERTOWN HOTEL,4242 ROOSEVELT WAY NE,1142000755,NORTHEAST,2001.0,1.0,6.0,88592.0,30586.0,58006.0,"Hotel, Parking",Hotel,58006.0,Parking,30586.0,RAS,0.0,84.0,63.20000076,63.29999924,148.0,148.5,3663534.5,3673186.75,0.0,2266231.0,1397303.0,False,90.01,1.02
30.0,NonResidential,University,Main Campus Center,1000 Lenora St.,0660001420,DOWNTOWN,1928.0,1.0,7.0,126593.0,0.0,126593.0,College/University,College/University,125000.0,RAS,0.0,RAS,0.0,65.44972577696527,90.69999695,97.5,173.0,180.0,11343686.0,12183313.0,0.0,4647474.0,6696211.0,False,388.04,3.07
31.0,NonResidential,Other,Seattle Honda,1015 & 1017 Olive Way,0660001725,DOWNTOWN,1930.0,1.0,2.0,67224.0,0.0,67224.0,Automobile Dealership,Automobile Dealership,67224.0,RAS,0.0,RAS,0.0,65.44972577696527,19.5,19.5,61.20000076,61.20000076,1310236.625,1310236.625,0.0,1310236.0,0.0,False,9.13,0.14
32.0,NonResidential,Hotel,Homewood Suites,1011 Pike ST,0660001832,EAST,1991.0,1.0,8.0,158676.0,30301.0,128375.0,"Hotel, Parking, Retail Store, Swimming Pool",Hotel,112676.0,Parking,42000.0,Retail Store,4500.0,65.44972577696527,45.5,46.29999924,58.0,58.79999924,5328051.5,5424942.0,0.0,572307.0,4755745.0,False,256.57,1.62
33.0,NonResidential,Hotel,Marriott Springhill Suites (33),1800 Yale Ave,0660002680,DOWNTOWN,2001.0,1.0,10.0,171866.0,38281.0,133585.0,Hotel,Hotel,128909.0,RAS,0.0,RAS,0.0,57.0,85.80000305,86.69999695,181.1000061,180.6000061,11061916.0,11171407.0,0.0,5610706.0,5451210.0,False,328.63,1.91
34.0,SPS-District K-12,K-12 School,Meany Building,301/300 21st Ave. E.,0688000090,Central,1955.0,1.0,1.0,126351.0,0.0,126351.0,K-12 School,K-12 School,126351.0,RAS,0.0,RAS,0.0,65.44972577696527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
35.0,NonResidential,Hotel,Hotel Five,2200 5th ave,0697000170,DOWNTOWN,1978.0,1.0,5.0,68410.0,16200.0,52210.0,Hotel,Hotel,47994.0,RAS,0.0,RAS,0.0,57.0,92.90000153,95.0,199.6999969,206.3000031,4456714.5,4557974.0,0.0,2346349.0,2110365.0,False,128.44,1.88
36.0,SPS-District K-12,K-12 School,Jane Addams Middle,11051 34th Ave. N.E.,0752000170,NORTH,1949.0,1.0,2.0,160645.0,0.0,160645.0,K-12 School,K-12 School,164229.0,RAS,0.0,RAS,0.0,75.0,41.29999924,47.5,68.09999847,75.69999695,6779173.0,7800349.5,0.0,1947601.0,4831572.0,True,270.18,1.68
37.0,SPS-District K-12,K-12 School,John Hay Elementary,201 Garfield St.,0809000005,MAGNOLIA / QUEEN ANNE,1989.0,1.0,2.0,51582.0,0.0,51582.0,K-12 School,K-12 School,55166.0,RAS,0.0,RAS,0.0,65.44972577696527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1496816.0,0.0,False,10.43,0.2
38.0,NonResidential,Small- and Mid-Sized Office,Good Shepherd Center,4649 Sunnyside Ave. N.,0825049008,LAKE UNION,1906.0,1.0,3.0,87262.0,0.0,87262.0,"K-12 School, Multifamily Housing, Office, Other - Entertainment/Public Assembly",Office,40943.0,K-12 School,18153.0,Other - Entertainment/Public Assembly,4307.0,65.44972577696527,61.5,69.80000305,106.5,115.9000015,4145920.5,4703690.0,0.0,1352843.0,2793077.0,False,157.77,1.81
40.0,NonResidential,Hotel,Silver Cloud University,5036 25th Ave NE,0925049117,NORTHEAST,1994.0,1.0,4.0,81871.0,0.0,81871.0,Hotel,Hotel,81871.0,RAS,0.0,RAS,0.0,29.0,81.5,82.19999695,162.5,164.8999939,6668568.5,6731281.5,0.0,3016399.0,3652169.0,False,215.0,2.63
41.0,NonResidential,Self-Storage Facility,08781-University Village,2746 Ne 45th St Suite 100,0925049330,NORTHEAST,1955.0,1.0,2.0,110356.0,0.0,110356.0,Self-Storage Facility,Self-Storage Facility,26225.0,RAS,0.0,RAS,0.0,65.44972577696527,12.10000038,12.39999962,35.20000076,35.5,318364.8125,326223.0938,0.0,281265.0,37100.0,False,3.93,0.04
43.0,Campus,Mixed Use Property,Plant 2 Site,7755 E MARGINAL WAY S,0022000005,GREATER DUWAMISH,1992.0,1.0,3.0,494835.0,0.0,494835.0,"Energy/Power Station, Laboratory, Manufacturing/Industrial Plant, Non-Refrigerated Warehouse, Office",Office,757027.0,Laboratory,0.0,Non-Refrigerated Warehouse,0.0,8.0,221.6999969,233.1000061,388.2000122,400.2999878,2557796.375,2691883.125,0.0,1613401.5,501636.9951,False,49.599999999999994,0.88
46.0,NonResidential,Warehouse,Seattle 11-13,3301 S NORFOLK ST,0323049024,GREATER DUWAMISH,1961.0,3.0,2.0,714095.0,0.0,714095.0,"Non-Refrigerated Warehouse, Office, Refrigerated Warehouse",Non-Refrigerated Warehouse,616000.0,Refrigerated Warehouse,0.0,Office,0.0,65.44972577696527,46.40000153,45.79999924,145.8999939,143.8000031,44731160.0,44110016.0,0.0,44731153.0,0.0,False,311.84,0.44
50.0,SPS-District K-12,K-12 School,Lawton Elementary,4000 27th Ave. W.,0369000400,MAGNOLIA / QUEEN ANNE,1990.0,1.0,2.0,54986.0,0.0,54986.0,K-12 School,K-12 School,54986.0,RAS,0.0,RAS,0.0,97.0,30.0,32.79999924,77.80000305,83.19999695,1650279.25,1802471.375,0.0,1217589.0,432690.0,False,31.47,0.57
51.0,SPS-District K-12,K-12 School,Eckstein Middle,3003 N.E. 75th St.,0425049022,NORTHEAST,1950.0,1.0,2.0,175565.0,0.0,175565.0,K-12 School,K-12 School,182861.0,RAS,0.0,RAS,0.0,88.0,35.0,40.09999847,55.0,60.40000153,6399127.5,7329817.5,0.0,1599684.0,4799443.0,True,266.05,1.52
52.0,NonResidential,Small- and Mid-Sized Office,SBC52,5305 Shilshole Ave NW,0467000429,BALLARD,1961.0,1.0,2.0,94900.0,0.0,94900.0,"Non-Refrigerated Warehouse, Office",Office,55586.0,Non-Refrigerated Warehouse,39314.0,RAS,0.0,57.0,65.19999695,68.90000153,163.0,165.8999939,6186461.5,6536359.5,0.0,4291585.0,1894876.0,False,130.56,1.38
53.0,NonResidential,Small- and Mid-Sized Office,El Centro de la Raza,2524 16th Ave S,0570000340,GREATER DUWAMISH,1900.0,1.0,2.0,52554.0,0.0,52554.0,"Office, Other - Education",Office,51029.0,Other - Education,7849.0,RAS,0.0,83.0,50.09999847,53.5,108.6999969,112.3000031,2951331.25,3150635.5,0.0,1579749.0,1371582.0,False,83.86,1.6
54.0,NonResidential,K-12 School,Blanchet High School,8200 Wallingford Ave. N,0625049002,NORTHWEST,1954.0,1.0,3.0,175015.0,0.0,175015.0,K-12 School,K-12 School,175015.0,RAS,0.0,RAS,0.0,95.0,40.0,45.09999847,74.0,80.40000153,6994740.5,7886505.5,0.0,2679739.0,4315001.0,False,247.85,1.42
55.0,NonResidential,Self-Storage Facility,Vine Street,11 Vine Street,0653000225,DOWNTOWN,1911.0,1.0,3.0,70586.0,0.0,70586.0,"Office, Self-Storage Facility, Vocational School",Self-Storage Facility,38439.0,Vocational School,28197.0,Office,3859.0,65.44972577696527,30.60000038,33.09999847,76.59999847,79.19999695,2158629.0,2331573.25,0.0,1500229.0,658400.0,False,45.43,0.64
56.0,NonResidential,Hotel,Seattle Hilton Hotel,1301 Sixth Ave,1975700040,DOWNTOWN,1969.0,1.0,2.0,332210.0,0.0,126240.0,Hotel,Hotel,348630.0,RAS,0.0,RAS,0.0,67.0,46.40000153,46.40000153,121.8000031,121.8000031,16163194.0,16163194.0,0.0,12204406.0,3958787.0,False,295.33,0.89
57.0,NonResidential,Large Office,5th and Pine,413 Pine Street,1975700200,DOWNTOWN,1973.0,1.0,5.0,168115.0,0.0,168115.0,"Data Center, Office, Retail Store",Office,103362.0,Retail Store,65676.0,Data Center,493.0,78.0,56.29999924,56.29999924,176.6000061,176.6000061,9536161.0,9536161.0,0.0,9536160.0,0.0,False,66.48,0.4
58.0,NonResidential,Other,1525 4th Avenue,1525 4th Ave,1975700365,DOWNTOWN,1920.0,1.0,2.0,57428.0,0.0,57428.0,"Other - Mall, Personal Services (Health/Beauty, Dry Cleaning, etc)",Other - Mall,51747.0,"Personal Services (Health/Beauty, Dry Cleaning, etc)",5681.0,RAS,0.0,65.44972577696527,21.70000076,21.60000038,48.79999924,48.40000153,1247362.0,1239429.75,0.0,714939.0,532423.0,False,33.26,0.58
59.0,NonResidential,Small- and Mid-Sized Office,Gibraltar Tower,1520 3rd Ave,1975700380,DOWNTOWN,1910.0,1.0,8.0,59400.0,0.0,59400.0,"Office, Retail Store",Office,34947.0,Retail Store,4993.0,RAS,0.0,14.0,85.40000153,88.30000305,398.7000122,412.2000122,5071974.0,5242479.5,0.0,5071973.0,0.0,False,35.36,0.6
60.0,NonResidential,Mixed Use Property,Mann Building,1401 3rd Avenue,1975700525,DOWNTOWN,1926.0,1.0,2.0,52549.0,0.0,52549.0,"Office, Other - Entertainment/Public Assembly, Restaurant",Other - Entertainment/Public Assembly,23500.0,Restaurant,23500.0,Office,5459.0,65.44972577696527,51.90000153,53.90000153,485.2999878,495.5,15026196.0,15683742.0,0.0,4632459.0,10393737.0,False,584.31,0.88
62.0,NonResidential,Hotel,Roosevelt Hotel,1531 7th Ave,1976700010,DOWNTOWN,1930.0,1.0,20.0,98634.0,10043.0,88591.0,"Hotel, Parking, Restaurant",Hotel,83591.0,Parking,10043.0,Restaurant,5000.0,71.0,54.59999847,57.29999924,158.6000061,167.0,4841347.5,5078816.0,0.0,4290059.0,551288.0,False,59.19,0.6
63.0,NonResidential,Hotel,Sheraton Seattle Hotel,1400 6th Avenue,1976700095,DOWNTOWN,1982.0,1.0,2.0,49289.5,0.0,847518.0,"Hotel, Parking, Swimming Pool",Hotel,44039.0,Parking,117668.0,Swimming Pool,0.0,63.0,80.90000153,82.80000305,182.5,184.5,80469216.0,2691883.125,11598686.0,45545529.0,23324992.0,False,49.599999999999994,2.47
65.0,NonResidential,Hotel,Inn at the Market,86 Pine St,1977200050,DOWNTOWN,1985.0,1.0,7.0,71150.0,0.0,71150.0,"Hotel, Parking, Restaurant, Retail Store",Hotel,41340.0,Parking,13730.0,Retail Store,9604.0,98.0,93.09999847,93.09999847,215.8999939,215.8999939,5348309.0,5348309.0,0.0,3243900.0,2104408.0,False,134.38,1.89
66.0,NonResidential,Hotel,Moore Hotel INC,1926 2nd Ave,1977201035,DOWNTOWN,1908.0,1.0,7.0,122810.0,0.0,122810.0,"Hotel, Other - Entertainment/Public Assembly, Retail Store",Hotel,88360.0,Other - Entertainment/Public Assembly,26450.0,Retail Store,8000.0,99.0,44.0,49.59999847,68.19999695,74.09999847,5401277.5,6088417.5,0.0,1293561.0,4107716.0,False,227.18,1.85
67.0,NonResidential,Hotel,QUALITY INN,618 JOHN ST,1991200730,LAKE UNION,1959.0,1.0,5.0,113173.0,42546.0,70627.0,"Hotel, Parking",Hotel,70627.0,Parking,42546.0,RAS,0.0,86.0,74.80000305,76.90000153,165.6999969,172.1000061,5284343.5,5428403.5,0.0,2944680.0,2339663.0,False,144.79,1.28
68.0,NonResidential,Hotel,Rainier Hospitality,211 Dexter Ave N,1991200935,LAKE UNION,2000.0,1.0,7.0,150453.0,34735.0,115718.0,Hotel,Hotel,107547.0,Restaurant,3000.0,RAS,0.0,84.0,60.70000076,61.79999924,128.0,129.8000031,6715187.0,6835263.5,0.0,3396109.0,3319078.0,False,199.95,1.33
69.0,NonResidential,Hotel,Sequim Lodging Corp,226 Aurora Ave N,1991200940,LAKE UNION,1997.0,1.0,6.0,116300.0,28200.0,88100.0,Hotel,Hotel,88490.0,Parking,28300.0,RAS,0.0,80.0,65.90000153,67.09999847,144.5,147.1000061,5827595.5,5941927.0,0.0,3188457.0,2639138.0,False,162.39,1.4
70.0,NonResidential,Hotel,Homewood Suites by Hilton Seattle Downtonw,206 Western Ave West,1992200235,MAGNOLIA / QUEEN ANNE,1998.0,1.0,6.0,155602.0,36744.0,118858.0,Hotel,Hotel,155602.0,RAS,0.0,RAS,0.0,81.0,43.90000153,44.0,107.4000015,107.5999985,6836900.0,6849826.5,0.0,4558937.0,2277962.0,False,152.76,0.98
73.0,NonResidential,K-12 School,Seattle Hebrew Academy,1617 Interlaken Drive East,2125049015,EAST,1911.0,1.0,3.0,56072.0,0.0,56072.0,K-12 School,K-12 School,56072.0,RAS,0.0,RAS,0.0,76.0,57.70000076,67.80000305,81.09999847,92.69999695,3234787.75,3800842.5,0.0,551867.0,2682920.0,False,146.34,2.61
77.0,NonResidential,Hotel,Comfort Suites Seattle Center,601 Roy St,2249000170,MAGNOLIA / QUEEN ANNE,1999.0,1.0,4.0,122942.0,44891.0,78051.0,"Hotel, Parking",Hotel,78051.0,Parking,44891.0,RAS,0.0,94.0,68.40000153,69.0,136.6999969,138.6999969,5337334.0,5387530.0,0.0,2423730.0,2913604.0,False,171.64,1.4
82.0,NonResidential,Small- and Mid-Sized Office,Dept of Social & Health Services,1700 E. Cherry St,2254501944,CENTRAL,1962.0,1.0,2.0,54984.0,0.0,54984.0,Office,Office,54984.0,RAS,0.0,RAS,0.0,71.0,61.40000153,66.0,139.6000061,144.5,3375211.0,3630147.25,0.0,1978230.0,1396981.0,False,87.98,1.6
84.0,NonResidential,Senior Care Community,PSSA - The Mount,4831 35th Ave SW,2324039001,SOUTHWEST,1922.0,1.0,5.0,217603.0,0.0,217603.0,"Parking, Senior Care Community",Senior Care Community,296313.0,Parking,0.0,RAS,0.0,54.0,144.3999939,153.6999969,235.0,244.8000031,42792072.0,45547252.0,0.0,11824772.0,501636.9951,False,1727.11,0.88
85.0,NonResidential,Senior Care Community,Foss Home and Village,13023 Greenwood Ave. N,2426039059,NORTHWEST,1970.0,1.0,2.0,93397.0,0.0,93397.0,Senior Care Community,Senior Care Community,93397.0,RAS,0.0,RAS,0.0,1.0,175.6000061,181.6000061,311.5,320.0,16402563.0,16959754.0,0.0,5679498.0,10723064.0,False,609.1,6.52
86.0,NonResidential,Hotel,SCCA - ALLIANCE HOUSE,207 Pontius Ave N,2467400430,LAKE UNION,2008.0,1.0,6.0,84103.0,20732.0,63371.0,"Hotel, Parking",Hotel,63371.0,Parking,20732.0,RAS,0.0,74.0,58.5,59.79999924,154.1999969,156.6999969,3706100.25,3787499.0,0.0,2812688.0,893412.0,False,67.06,0.8
87.0,SPS-District K-12,K-12 School,Arbor Heights Elementary,3701 S.W. 104th St.,2518400005,SOUTHWEST,1948.0,1.0,2.0,53352.0,0.0,53352.0,K-12 School,K-12 School,65568.0,RAS,0.0,RAS,0.0,65.44972577696527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600813.0,0.0,False,4.19,0.08
89.0,NonResidential,Medical Office,Polyclinic North && South,1200 Harvard Ave,1978201270,EAST,1965.0,0.0,3.0,179014.0,0.0,179014.0,Medical Office,Medical Office,179014.0,RAS,0.0,RAS,0.0,48.0,93.30000305,92.30000305,213.3999939,210.3000031,16701055.0,16527711.0,0.0,9886484.0,6814570.0,False,430.84,2.41
95.0,NonResidential,Hotel,Sorrento Hotel,900 Madison St.,1979200270,EAST,1908.0,1.0,7.0,76631.0,0.0,76631.0,Hotel,Hotel,76631.0,RAS,0.0,RAS,0.0,71.0,94.69999695,94.59999847,172.0,171.6999969,7258758.5,7250730.5,0.0,2660742.0,4598016.0,False,262.75,3.43
96.0,NonResidential,Mixed Use Property,Central Seattle,921 Terry Ave.,1979200290,EAST,1983.0,1.0,6.0,99780.0,9341.0,90439.0,"Data Center, Medical Office, Non-Refrigerated Warehouse, Office, Other, Parking",Medical Office,40174.0,Parking,20868.0,Office,17020.0,65.44972577696527,204.5,207.3000031,505.7999878,504.2999878,15473117.0,15684371.0,5327802.5,10145313.0,0.0,False,481.97,4.83
98.0,NonResidential,Retail Store,Firestone Store#012432,400 Westlake Ave N,1983200230,LAKE UNION,1929.0,1.0,2.0,58320.0,0.0,58320.0,Retail Store,Retail Store,72072.0,RAS,0.0,RAS,0.0,96.0,14.60000038,17.20000076,25.79999924,28.79999924,1049748.625,1243027.75,0.0,361803.0,687945.0,False,39.06,0.67
100.0,NonResidential,Large Office,City Place III - SEDO,551 Boren Ave. North,1983200325,LAKE UNION,2010.0,1.0,5.0,316306.0,0.0,316306.0,"Office, Other, Parking, Retail Store",Office,261826.0,Parking,150726.0,Other,15139.0,96.0,48.0,48.40000153,144.0,144.3999939,13795954.0,13909270.0,0.0,12871091.0,924861.0,False,138.85,0.44
102.0,NonResidential,Hotel,Residence Inn Seattle - Lake Union,800 Fairview Ave. N,1984200065,LAKE UNION,1990.0,1.0,7.0,282863.0,44766.0,238097.0,"Hotel, Parking",Hotel,235788.0,Parking,51537.0,RAS,0.0,37.0,82.5,85.59999847,184.0,189.1999969,19459304.0,20194606.0,0.0,10980652.0,8478651.0,False,526.85,1.86
103.0,Nonresidential COS,Other,Key Arena,334 1st Ave. N,1985200003,MAGNOLIA / QUEEN ANNE,1962.0,1.0,1.0,389000.0,0.0,389000.0,Other,Other,368000.0,RAS,0.0,RAS,0.0,65.44972577696527,64.30000305,64.5,151.6000061,152.1000061,23658978.0,23736924.0,6093150.0,14419146.0,688680.0,False,607.41,1.56
104.0,Nonresidential COS,Other,Bagley Wright Theatre,151 Mercer St.,1985200003,MAGNOLIA / QUEEN ANNE,1962.0,1.0,1.0,91213.0,0.0,91213.0,Other,Other,65000.0,RAS,0.0,RAS,0.0,65.44972577696527,125.1999969,125.9000015,261.7000122,265.3999939,8141155.5,8181881.0,4120130.0,3754115.0,0.0,False,344.2,3.77
106.0,Nonresidential COS,Other,Armory,305 Harrison St.,1985200305,MAGNOLIA / QUEEN ANNE,1938.0,1.0,5.0,396085.0,0.0,396085.0,Other,Other,278500.0,RAS,0.0,RAS,0.0,65.44972577696527,75.19999695,76.30000305,138.1000061,140.0,20955026.0,21257836.0,9763690.0,7252325.0,0.0,False,804.2,2.03
